	Z1-A	Z1-C	Z1-N	Z1-R	Z11-C	Z11-N	Z11-R	Z13-A	Z13-C	Z13-N	Z18-A	Z18-C	Z18-R	Z23-C	Z23-N	Z23-R	Z26-C	Z26-N	Z26-R	Z28-A	Z28-C	Z28-N	Z28-R	Z29-A	Z29-C	Z29-N	Z29-R	Z32-A	Z32-C	Z32-N	Z32-R	Z36-A	Z36-C	Z36-N	Z36-R	Z39-A	Z39-N	Z39-R	Z4-A	Z4-C	Z4-N	Z4-R	Z40-A	Z40-C	Z40-N	Z40-R	Z43-C	Z43-N	Z43-R	Z44-A	Z44-C	Z44-N	Z45-A	Z45-C	Z45-N	Z45-R	Z46-C	Z46-N	Z46-R	Z5-A	Z5-C	Z5-N	Z5-R	Z6-A	Z6-C	Z6-N	Z6-R
Z39-R	0.501052632	0.583684211	0.567368421	0.578947368	0.951578947	0.925263158	0.761052632	0.538947368	0.538421053	0.599473684	0.588947368	0.614736842	0.580526316	0.749473684	0.573684211	0.559473684	0.477368421	0.653684211	0.538421053	0.605263158	0.585789474	0.611052632	0.574210526	0.925789474	0.922105263	0.585789474	0.937368421	0.854210526	0.561052632	0.709473684	0.576842105	0.943157895	0.574736842	0.592631579	0.921052632	0.928947368	0.954736842	0	0.798947368	0.900526316	0.818947368	0.779473684	0.590526316	0.971578947	0.635263158	0.904736842	0.831578947	0.744210526	0.551578947	0.617894737	0.571578947	0.582631579	0.885789474	0.589473684	0.746842105	0.653157895	0.949473684	0.557894737	0.67	0.563684211	0.701578947	0.534210526	0.564210526	0.556315789	0.493684211	0.687368421	0.574210526
Z4-A	0.791578947	0.827894737	0.841578947	0.746315789	0.974736842	0.962631579	0.888947368	0.833684211	0.828947368	0.850526316	0.808947368	0.832631579	0.843157895	0.888421053	0.772631579	0.798947368	0.791052632	0.795263158	0.770526316	0.804210526	0.822631579	0.850526316	0.810526316	0.937894737	0.907894737	0.801052632	0.912631579	0.902105263	0.804736842	0.824736842	0.822105263	0.912105263	0.775789474	0.784736842	0.925789474	0.971578947	0.978421053	0.798947368	0	0.754210526	0.831578947	0.863157895	0.846315789	0.968421053	0.837894737	0.979473684	0.788421053	0.877368421	0.831578947	0.850526316	0.774736842	0.815263158	0.781052632	0.703157895	0.789473684	0.746842105	0.564736842	0.816842105	0.755789474	0.8	0.823157895	0.826315789	0.821578947	0.754210526	0.850526316	0.715263158	0.792105263
Z4-C	0.912631579	0.916315789	0.906315789	0.892631579	0.987894737	0.845789474	0.911052632	0.912631579	0.908421053	0.927894737	0.923157895	0.927894737	0.916315789	0.927894737	0.86	0.905789474	0.869473684	0.808421053	0.885789474	0.917368421	0.902105263	0.919473684	0.914210526	0.978421053	0.984736842	0.921052632	0.969473684	0.930526316	0.878421053	0.870526316	0.927894737	0.942631579	0.899473684	0.872631579	0.982631579	0.947894737	0.993157895	0.900526316	0.754210526	0	0.578947368	0.876842105	0.927368421	0.978421053	0.910526316	0.973684211	0.801052632	0.912631579	0.893684211	0.923684211	0.876315789	0.911052632	0.804210526	0.781052632	0.827368421	0.857368421	0.833157895	0.905789474	0.892105263	0.905789474	0.868947368	0.843157895	0.905789474	0.822105263	0.916842105	0.799473684	0.908421053
Z4-N	0.822631579	0.846315789	0.834210526	0.800526316	0.989473684	0.961052632	0.849473684	0.832105263	0.836842105	0.857894737	0.847368421	0.850526316	0.831578947	0.854210526	0.774736842	0.833157895	0.808947368	0.743684211	0.814210526	0.833157895	0.842105263	0.845263158	0.841578947	0.967894737	0.981578947	0.840526316	0.994736842	0.891578947	0.795789474	0.820526316	0.848947368	0.944736842	0.827894737	0.798947368	0.970526316	0.945263158	0.994736842	0.818947368	0.831578947	0.578947368	0	0.867894737	0.852105263	1	0.857894737	0.978947368	0.831052632	0.838421053	0.821052632	0.853684211	0.79	0.83	0.917894737	0.817368421	0.808421053	0.796842105	0.942105263	0.834210526	0.817894737	0.816842105	0.795263158	0.771052632	0.827894737	0.743684211	0.841578947	0.794736842	0.83
Z4-R	0.887894737	0.699473684	0.914210526	0.88	0.967894737	0.878421053	0.885263158	0.863157895	0.818421053	0.923157895	0.923157895	0.914210526	0.922105263	0.885263158	0.781052632	0.860526316	0.676842105	0.89	0.861578947	0.902105263	0.907368421	0.923157895	0.922631579	0.847894737	0.941578947	0.796842105	0.803157895	0.88	0.874736842	0.816315789	0.923157895	0.837368421	0.855789474	0.843684211	0.841578947	0.946842105	0.895263158	0.779473684	0.863157895	0.876842105	0.867894737	0	0.916315789	1	0.923157895	0.878947368	0.861052632	0.896315789	0.861578947	0.923157895	0.770526316	0.891052632	0.796315789	0.873684211	0.844210526	0.806842105	0.901052632	0.838947368	0.777894737	0.889473684	0.805263158	0.838947368	0.897368421	0.852105263	0.78	0.846842105	0.852631579
Z40-A	0.522105263	0.555263158	0.510526316	0.519473684	0.992105263	0.977894737	0.767368421	0.335789474	0.385263158	0.344210526	0.514210526	0.502631579	0.511578947	0.754210526	0.621578947	0.502631579	0.500526316	0.538421053	0.482105263	0.574210526	0.477894737	0.513157895	0.482631579	0.95	0.946842105	0.587368421	0.906842105	0.856315789	0.404210526	0.75	0.471578947	0.991052632	0.503157895	0.507368421	0.982631579	0.943157895	1	0.590526316	0.846315789	0.927368421	0.852105263	0.916315789	0	0.827368421	0.496315789	0.911052632	0.693684211	0.786842105	0.403684211	0.516315789	0.682631579	0.51	0.770526316	0.394210526	0.621578947	0.770526316	0.974210526	0.514736842	0.741052632	0.511052632	0.707368421	0.515263158	0.512631579	0.507368421	0.503684211	0.719473684	0.484210526
Z40-C	1	1	1	1	0.997368421	0.995789474	0.896315789	0.820526316	0.748421053	0.707894737	1	1	0.963684211	0.935789474	0.997894737	0.998947368	0.946315789	0.796315789	0.983157895	0.935789474	0.982105263	1	1	0.92	0.951052632	1	0.911578947	0.943157895	0.681052632	0.964210526	0.958421053	0.998421053	0.998947368	1	0.994736842	1	1	0.971578947	0.968421053	0.978421053	1	1	0.827368421	0	0.614210526	0.963157895	0.388947368	1	0.901052632	1	0.961052632	0.997894737	0.655263158	0.877368421	0.522105263	0.961052632	0.998421053	1	0.986315789	1	0.997368421	1	1	0.994210526	1	0.989473684	1
Z40-N	0.655263158	0.670526316	0.67	0.662631579	0.992105263	0.977368421	0.773157895	0.494210526	0.483157895	0.378421053	0.659473684	0.670526316	0.670526316	0.761052632	0.678421053	0.657368421	0.616842105	0.523157895	0.633684211	0.672105263	0.651578947	0.670526316	0.658421053	0.978421053	0.938421053	0.670526316	0.891052632	0.85	0.347368421	0.731578947	0.612631579	0.993684211	0.661052632	0.657368421	0.991578947	0.933684211	1	0.635263158	0.837894737	0.910526316	0.857894737	0.923157895	0.496315789	0.614210526	0	0.953157895	0.504210526	0.788947368	0.554736842	0.670526316	0.713157895	0.668421053	0.621052632	0.547894737	0.435789474	0.763684211	0.978947368	0.670526316	0.732105263	0.670526316	0.725263158	0.670526316	0.670526316	0.664736842	0.663684211	0.754736842	0.648421053
Z40-R	0.951578947	0.880526316	0.975789474	0.970526316	0.996842105	0.986842105	0.884736842	0.903684211	0.959473684	0.966315789	0.961578947	0.980526316	0.967368421	0.943684211	0.966315789	0.922631579	0.850526316	0.912631579	0.895789474	0.976842105	0.946315789	0.983684211	0.955789474	0.951052632	0.937894737	0.976315789	0.956842105	0.937894737	0.961578947	0.937368421	0.92	0.983157895	0.969473684	0.922631579	0.955789474	0.953684211	1	0.904736842	0.979473684	0.973684211	0.978947368	0.878947368	0.911052632	0.963157895	0.953157895	0	0.947894737	0.979473684	0.912631579	0.983684211	0.928421053	0.972105263	0.926842105	0.966315789	0.939473684	0.878421053	0.957368421	0.929473684	0.974210526	0.956315789	0.858947368	0.934736842	0.979473684	0.948947368	0.957894737	0.939473684	0.875263158
Z43-C	0.851052632	0.865263158	0.867894737	0.823684211	0.990526316	0.974736842	0.791052632	0.680526316	0.682105263	0.585789474	0.872105263	0.871052632	0.854736842	0.865263158	0.852631579	0.845263158	0.750526316	0.638421053	0.824210526	0.864210526	0.851052632	0.876315789	0.864736842	0.97	0.913157895	0.859473684	0.904736842	0.854736842	0.518421053	0.806842105	0.834736842	0.934736842	0.864210526	0.823684211	0.963684211	0.946842105	0.998421053	0.831578947	0.788421053	0.801052632	0.831052632	0.861052632	0.693684211	0.388947368	0.504210526	0.947894737	0	0.871052632	0.742105263	0.873157895	0.824210526	0.865263158	0.493157895	0.625789474	0.293684211	0.767368421	0.847368421	0.854210526	0.822105263	0.851578947	0.834736842	0.861578947	0.867894737	0.841052632	0.863684211	0.753684211	0.842105263
