	Z1-A	Z1-C	Z1-N	Z1-R	Z11-C	Z11-N	Z11-R	Z13-A	Z13-C	Z13-N	Z18-A	Z18-C	Z18-R	Z23-C	Z23-N	Z23-R	Z26-C	Z26-N	Z26-R	Z28-A	Z28-C	Z28-N	Z28-R	Z29-A	Z29-C	Z29-N	Z29-R	Z32-A	Z32-C	Z32-N	Z32-R	Z36-A	Z36-C	Z36-N	Z36-R	Z39-A	Z39-N	Z39-R	Z4-A	Z4-C	Z4-N	Z4-R	Z40-A	Z40-C	Z40-N	Z40-R	Z43-C	Z43-N	Z43-R	Z44-A	Z44-C	Z44-N	Z45-A	Z45-C	Z45-N	Z45-R	Z46-C	Z46-N	Z46-R	Z5-A	Z5-C	Z5-N	Z5-R	Z6-A	Z6-C	Z6-N	Z6-R
Z28-N	0.682926829	0.794117647	0.711111111	0.729166667	0.84	0.857142857	0.873015873	0.69047619	0.62962963	0.631578947	0.783783784	0.666666667	0.702702703	0.681818182	0.795918367	0.772727273	0.633333333	0.87804878	0.851851852	0.675675676	0.807692308	0	0.631578947	0.866666667	0.98245614	0.730769231	1	0.804878049	0.803571429	0.824561404	0.736842105	1	0.763157895	0.714285714	0.976190476	0.894736842	1	0.841269841	0.916666667	0.75	0.731707317	0.787878788	0.844827586	1	0.8	0.974842767	0.870967742	0.608695652	0.75	0.555555556	0.734693878	0.763157895	0.851851852	0.733333333	0.71875	0.886075949	0.901960784	0.6	0.868852459	0.75	0.877192982	0.696969697	0.592592593	0.811320755	0.666666667	0.705882353	0.7
Z28-R	0.62962963	0.849056604	0.741935484	0.714285714	0.911111111	0.848484848	0.818181818	0.706896552	0.760869565	0.820512821	0.818181818	0.761904762	0.716981132	0.833333333	0.784615385	0.745762712	0.755102041	0.857142857	0.828571429	0.722222222	0.794117647	0.631578947	0	0.873015873	0.916666667	0.847826087	1	0.830508475	0.808219178	0.824324324	0.807017544	0.927272727	0.844827586	0.818181818	0.95	0.905263158	1	0.82278481	0.892307692	0.796296296	0.779661017	0.846153846	0.84	1	0.807692308	0.948275862	0.860759494	0.7	0.771929825	0.789473684	0.738461538	0.803571429	0.828571429	0.816326531	0.826923077	0.863157895	0.882352941	0.680851064	0.873417722	0.793103448	0.849315068	0.788461538	0.711111111	0.830985915	0.75	0.745098039	0.690909091
Z29-A	0.876923077	0.846153846	0.884057971	0.888888889	0.88372093	0.863636364	0.860759494	0.84375	0.833333333	0.815789474	0.896551724	0.840909091	0.883333333	0.829268293	0.835820896	0.859375	0.846153846	0.89	0.875	0.885245902	0.875	0.866666667	0.873015873	0	0.915492958	0.761904762	0.933333333	0.827586207	0.868421053	0.837837838	0.883333333	0.925925926	0.842105263	0.857142857	0.931034483	0.93814433	0.977777778	0.87804878	0.873015873	0.877192982	0.85483871	0.770833333	0.868421053	0.954545455	0.87037037	0.935672515	0.873417722	0.813953488	0.85	0.846153846	0.875	0.862068966	0.842857143	0.836734694	0.8	0.873684211	0.913043478	0.826923077	0.857142857	0.868852459	0.863013699	0.830188679	0.836734694	0.876712329	0.865384615	0.833333333	0.85483871
Z29-C	0.918918919	0.919354839	0.975609756	0.925925926	0.962264151	0.921052632	0.91011236	0.92	0.95	0.96	0.940298507	0.945454545	0.911764706	0.942307692	0.924050633	0.904109589	0.936507937	0.917431193	0.913580247	0.958333333	0.913580247	0.98245614	0.916666667	0.915492958	0	0.946428571	0.890625	0.897058824	0.931034483	0.8375	0.942857143	0.898305085	0.957142857	0.955882353	0.887096774	0.971962617	0.980769231	0.9	0.869565217	0.940298507	0.916666667	0.918032787	0.943181818	0.960784314	0.903225806	0.955801105	0.896551724	0.964285714	0.914285714	0.980392157	0.952380952	0.910447761	0.926829268	0.933333333	0.936507937	0.871287129	0.876712329	0.9375	0.855421687	0.95890411	0.941176471	0.954545455	0.967741935	0.927710843	0.952380952	0.955223881	0.945945946
Z29-N	0.777777778	0.727272727	0.843137255	0.830188679	0.8	0.836734694	0.857142857	0.808510638	0.733333333	0.65	0.820512821	0.730769231	0.775	0.636363636	0.775510204	0.777777778	0.764705882	0.865853659	0.833333333	0.80952381	0.833333333	0.730769231	0.847826087	0.761904762	0.946428571	0	0.930232558	0.80952381	0.847457627	0.847457627	0.833333333	0.947368421	0.769230769	0.756756757	0.9	0.91025641	0.962962963	0.84375	0.872340426	0.789473684	0.76744186	0.677419355	0.847457627	1	0.805555556	0.962025316	0.836065574	0.68	0.785714286	0.65	0.811320755	0.769230769	0.833333333	0.741935484	0.727272727	0.858974359	0.86	0.696969697	0.833333333	0.813953488	0.839285714	0.705882353	0.741935484	0.836363636	0.757575758	0.75	0.795454545
Z29-R	0.984848485	0.981132075	0.971014493	0.942857143	0.95	0.921875	0.95	0.985074627	0.958333333	0.945945946	0.945454545	1	0.983333333	1	0.956521739	0.953125	0.981132075	0.928571429	0.943661972	1	0.943661972	1	1	0.933333333	0.890625	0.930232558	0	0.931034483	0.947368421	0.947368421	0.966101695	0.893617021	0.928571429	0.945454545	0.901960784	0.978947368	0.918918919	0.963855422	0.93442623	0.964285714	0.984375	0.960784314	0.974358974	0.947368421	0.921568627	0.98265896	0.922077922	1	0.95	1	0.986486486	0.965517241	0.958333333	0.9375	0.961538462	0.925531915	0.904761905	0.962264151	0.891891892	0.983870968	0.973333333	0.962962963	0.959183673	0.986666667	0.980769231	0.963636364	0.93442623
Z32-A	0.836065574	0.862745098	0.880597015	0.835820896	0.87804878	0.859375	0.842105263	0.819672131	0.8	0.735294118	0.830188679	0.743589744	0.839285714	0.789473684	0.830769231	0.85483871	0.765957447	0.887755102	0.855072464	0.8	0.871428571	0.804878049	0.830508475	0.827586207	0.897058824	0.80952381	0.931034483	0	0.849315068	0.864864865	0.818181818	0.962962963	0.857142857	0.784313725	0.928571429	0.913978495	0.976744186	0.831168831	0.887096774	0.872727273	0.810344828	0.787234043	0.864864865	0.976744186	0.82	0.947368421	0.855263158	0.804878049	0.824561404	0.805555556	0.855072464	0.79245283	0.855072464	0.804347826	0.816326531	0.894736842	0.893939394	0.843137255	0.883116883	0.824561404	0.842857143	0.823529412	0.804347826	0.873239437	0.787234043	0.803921569	0.810344828
Z32-C	0.797297297	0.898550725	0.82278481	0.814814815	0.915254237	0.8625	0.847826087	0.75	0.779661017	0.826923077	0.873239437	0.86440678	0.797101449	0.877192982	0.825	0.813333333	0.848484848	0.813084112	0.872093023	0.816901408	0.858823529	0.803571429	0.808219178	0.868421053	0.931034483	0.847457627	0.947368421	0.849315068	0	0.866666667	0.830985915	0.957746479	0.794117647	0.823529412	0.931506849	0.898148148	1	0.838709677	0.9125	0.805970149	0.774647887	0.863636364	0.853932584	0.966666667	0.850746269	0.963350785	0.858695652	0.711538462	0.768115942	0.826923077	0.817073171	0.828571429	0.885057471	0.841269841	0.830769231	0.861111111	0.903614458	0.796875	0.869565217	0.785714286	0.848837209	0.818181818	0.762711864	0.804878049	0.80952381	0.765625	0.808219178
Z32-N	0.797297297	0.793650794	0.807692308	0.769230769	0.896551724	0.802631579	0.835164835	0.831168831	0.779661017	0.849056604	0.84057971	0.86440678	0.779411765	0.836363636	0.794871795	0.797297297	0.830769231	0.824074074	0.872093023	0.833333333	0.831325301	0.824561404	0.824324324	0.837837838	0.8375	0.847457627	0.947368421	0.864864865	0.866666667	0	0.863013699	0.878787879	0.811594203	0.805970149	0.931506849	0.9375	0.983606557	0.826086957	0.855263158	0.805970149	0.739130435	0.863636364	0.866666667	0.983606557	0.850746269	0.935483871	0.806818182	0.824561404	0.785714286	0.849056604	0.817073171	0.811594203	0.7875	0.841269841	0.793650794	0.85046729	0.890243902	0.796875	0.804597701	0.768115942	0.875	0.8	0.762711864	0.847058824	0.80952381	0.820895522	0.855263158
Z32-R	0.813559322	0.836734694	0.825396825	0.815384615	0.875	0.838709677	0.855263158	0.816666667	0.795454545	0.764705882	0.803921569	0.8	0.836363636	0.815789474	0.846153846	0.852459016	0.760869565	0.875	0.818181818	0.839285714	0.869565217	0.736842105	0.807017544	0.883333333	0.942857143	0.833333333	0.966101695	0.818181818	0.830985915	0.863013699	0	0.981481481	0.833333333	0.803921569	0.982758621	0.888888889	1	0.858974359	0.920634921	0.87037037	0.847457627	0.857142857	0.863013699	0.976190476	0.791666667	0.947058824	0.883116883	0.829268293	0.842105263	0.8	0.869565217	0.854545455	0.869565217	0.826086957	0.787234043	0.88172043	0.909090909	0.84	0.896103896	0.842105263	0.857142857	0.843137255	0.8	0.871428571	0.808510638	0.823529412	0.763636364
