	Z1-A	Z1-C	Z1-N	Z1-R	Z11-C	Z11-N	Z11-R	Z13-A	Z13-C	Z13-N	Z18-A	Z18-C	Z18-R	Z23-C	Z23-N	Z23-R	Z26-C	Z26-N	Z26-R	Z28-A	Z28-C	Z28-N	Z28-R	Z29-A	Z29-C	Z29-N	Z29-R	Z32-A	Z32-C	Z32-N	Z32-R	Z36-A	Z36-C	Z36-N	Z36-R	Z39-A	Z39-N	Z39-R	Z4-A	Z4-C	Z4-N	Z4-R	Z40-A	Z40-C	Z40-N	Z40-R	Z43-C	Z43-N	Z43-R	Z44-A	Z44-C	Z44-N	Z45-A	Z45-C	Z45-N	Z45-R	Z46-C	Z46-N	Z46-R	Z5-A	Z5-C	Z5-N	Z5-R	Z6-A	Z6-C	Z6-N	Z6-R
Z43-R	0.268492535	0.436695499	0.184221758	0.348862236	1.135055289	1.103770576	0.841137102	0.093715012	0.371183185	0.119687494	0.143561041	0.147416577	0.293828492	0.74750904	0.528877491	0.134758915	0.314625213	0.693821044	0.176691459	0.453631578	0.242764071	0.32093431	0.222132518	1.081826246	1.089875738	0.532799109	1.062266427	0.971709734	0.451985409	0.729238148	0.219200876	1.089169957	0.145384058	0.243888437	1.095699386	1.056233747	1.139154802	0.498331193	0.883592715	0.930486607	0.858621518	0.978199669	0.375927652	1.084067078	0.614111429	1.078475396	0.901170838	0.303727175	0	0.162375128	0.464877746	0.134268326	1.002735986	0.18354468	0.803199792	0.790374277	1.091614902	0.238750614	0.6922154	0.088134109	0.679867982	0.203905072	0.303157226	0.237265014	0.139184847	0.663055658	0.069926111
Z44-A	0.311125614	0.419435426	0.263566113	0.398805222	1.053904115	1.032180447	0.842970308	0.148754657	0.387150751	0.16290599	0.222135803	0.220772773	0.377636265	0.784052782	0.493188133	0.240837897	0.36644554	0.760336976	0.231421872	0.476281891	0.275504752	0.397188788	0.306041407	1.100902654	1.122258618	0.53942972	1.072545988	0.972996662	0.497588016	0.740969706	0.284894847	1.042639589	0.199905015	0.243023237	1.046835057	1.021566294	1.058244694	0.51252427	0.943678324	0.933644936	0.892170495	0.970026772	0.413893803	1.14940315	0.668293747	1.12578903	0.966025339	0.232347329	0.162375128	0	0.488304586	0.145981305	1.05212457	0.232410181	0.835849642	0.851908266	1.148010994	0.310655325	0.686984273	0.159863496	0.713820227	0.194811933	0.375488182	0.234851775	0.127359125	0.682592134	0.180368954
Z44-C	0.305561223	0.190595231	0.590278302	0.235265783	0.81384605	0.781298007	0.536515612	0.398151332	0.168144472	0.414277871	0.556662911	0.531929306	0.696657073	0.390408331	0.217389563	0.552660588	0.232833569	0.372569617	0.467554825	0.097699006	0.35105527	0.735946505	0.627064696	0.783108096	0.774281985	0.21916389	0.771790352	0.66505746	0.196867529	0.400648791	0.404082617	0.776438195	0.532677492	0.348663237	0.783138318	0.755056836	0.824482525	0.191415889	0.545155097	0.624964723	0.571028249	0.670472164	0.178150466	0.756952398	0.285711998	0.760809185	0.579316758	0.345167928	0.464877746	0.488304586	0	0.448359484	0.657994364	0.336365358	0.4640248	0.506534191	0.750277572	0.644372297	0.394853735	0.485848471	0.333788458	0.365407241	0.701821938	0.320845337	0.446655152	0.312729899	0.488573518
Z44-N	0.235512259	0.375478412	0.244103566	0.348932564	1.075606777	1.04458585	0.815837292	0.117911904	0.37453143	0.147407192	0.199065393	0.21877045	0.37056378	0.747820563	0.459777797	0.217510443	0.289119518	0.664226349	0.154996306	0.437083165	0.198513546	0.383592267	0.298753165	1.053205772	1.085574232	0.501268326	1.034445596	0.957707574	0.464825109	0.718519339	0.217172406	1.060117357	0.196562142	0.2084673	1.04564255	0.984529318	1.087457751	0.457804144	0.87565454	0.900625892	0.807764904	0.930278433	0.370508453	1.090727712	0.62809276	1.038418733	0.919367825	0.248033276	0.134268326	0.145981305	0.448359484	0	0.996547369	0.195543047	0.803492881	0.765121708	1.097967043	0.301207516	0.655135434	0.133681937	0.65258908	0.142877001	0.372297427	0.193958538	0.114625161	0.640366885	0.141287985
Z45-A	0.875848778	0.726681578	1.158891654	0.778118374	0.388633822	0.357916804	0.411966815	0.954733235	0.709024704	0.940762064	1.111468688	1.110285581	1.273602672	0.459757145	0.660896665	1.109565761	0.772142488	0.455015032	1.02194906	0.675875975	0.89301761	1.30451193	1.200630316	0.334053432	0.323970763	0.624464487	0.292221734	0.331092386	0.700670433	0.434370652	0.95998164	0.340231642	1.092933396	0.892178203	0.348515855	0.328749114	0.392758198	0.665440046	0.258123408	0.25407146	0.416946302	0.295950469	0.726810752	0.182835054	0.468042576	0.333620727	0.247381908	0.919028927	1.002735986	1.05212457	0.657994364	0.996547369	0	0.872376739	0.291739404	0.450631051	0.191113659	1.216761714	0.482492965	1.055192052	0.48463345	0.905645112	1.283978521	0.867970937	1.026840527	0.46596594	1.044864036
Z45-C	0.198743925	0.362803327	0.322098048	0.259398041	1.034756874	1.003118424	0.760837807	0.106277222	0.220501357	0.097912169	0.289284236	0.276707293	0.4207745	0.614927104	0.447401431	0.276571418	0.239975848	0.570837835	0.201640408	0.318050024	0.174143873	0.458552617	0.353829859	1.003588768	0.975067742	0.439540863	0.982358136	0.880224263	0.290291288	0.637375945	0.15710612	0.993349299	0.267466774	0.172116898	1.011840374	0.986324212	1.041198902	0.426936354	0.743662291	0.829096349	0.778478425	0.900463155	0.241862127	0.950571369	0.469228637	1.002442627	0.751945961	0.208258523	0.18354468	0.232410181	0.336365358	0.195543047	0.872376739	0	0.653170465	0.717303289	0.935240021	0.378052888	0.620196244	0.227878252	0.592889857	0.137225204	0.430980156	0.169417415	0.199748324	0.529432291	0.217627993
Z45-N	0.687172339	0.541901209	0.944086577	0.577919993	0.578969911	0.547783448	0.300262837	0.741650977	0.495717189	0.715902072	0.899760392	0.887930506	1.058313317	0.233997729	0.478472899	0.911717259	0.571534153	0.264105738	0.833020885	0.45390411	0.703451869	1.096836889	0.986048158	0.548428415	0.517250391	0.437596172	0.516953349	0.405184267	0.47716315	0.249665358	0.767962759	0.533785379	0.87404654	0.683331495	0.539253513	0.524027167	0.583406189	0.475534125	0.205486174	0.368722822	0.343731611	0.435656901	0.517258003	0.367844851	0.251159233	0.547688595	0.178470838	0.70527071	0.803199792	0.835849642	0.4640248	0.803492881	0.291739404	0.653170465	0	0.272298392	0.360406357	1.004509394	0.300108618	0.833041384	0.322394315	0.721021158	1.066718751	0.670840361	0.821194904	0.284813878	0.854407604
Z45-R	0.636484237	0.471795814	0.924608364	0.540248407	0.591422528	0.557687725	0.285294172	0.769494237	0.579721246	0.798467347	0.877699302	0.893643752	1.045862252	0.360340113	0.424779887	0.887688983	0.532818653	0.224647191	0.78389486	0.499320236	0.630332667	1.078996454	0.98044961	0.522705807	0.524662473	0.413400842	0.454546572	0.418522895	0.58362491	0.246496237	0.728862754	0.544062288	0.869602481	0.679092548	0.543551357	0.421869022	0.596697224	0.425613235	0.319882993	0.320175794	0.247051878	0.391765011	0.560524654	0.563916387	0.387510002	0.410608937	0.3807204	0.711373856	0.790374277	0.851908266	0.506534191	0.765121708	0.450631051	0.717303289	0.272298392	0	0.526617606	0.991929308	0.246600502	0.825823684	0.285262908	0.684832066	1.059152812	0.658976071	0.816307901	0.313829267	0.80095321
Z46-C	0.966162965	0.837711452	1.221853186	0.828811343	0.39829318	0.388101497	0.504661345	1.023447166	0.800359448	1.008012222	1.167971285	1.180932865	1.33218325	0.480322477	0.759811971	1.190837064	0.866524074	0.546379618	1.107712735	0.756235206	0.971498507	1.368268817	1.258741122	0.359931515	0.299715244	0.729803126	0.310303064	0.413898764	0.767622545	0.540993172	1.039519204	0.354429158	1.16780173	0.983257405	0.360194934	0.437994418	0.404616792	0.762418969	0.332501727	0.36496393	0.502387198	0.400748634	0.795940887	0.121809604	0.548017235	0.383613462	0.229706625	1.009862472	1.091614902	1.148010994	0.750277572	1.097967043	0.191113659	0.935240021	0.360406357	0.526617606	0	1.284302829	0.573917116	1.126644075	0.614523468	1.002404475	1.343664514	0.976939419	1.110478953	0.579810108	1.124233271
Z46-N	0.46046486	0.604935535	0.122410454	0.546320025	1.27586038	1.246876806	1.030093907	0.289606595	0.565681067	0.317356006	0.165630067	0.187494378	0.146210701	0.925124021	0.68704458	0.134703237	0.517894469	0.906369914	0.366146796	0.636478637	0.412157557	0.121175427	0.090794937	1.264226566	1.280106694	0.720553176	1.278917005	1.166194936	0.648621946	0.927549597	0.416230487	1.256353515	0.175225556	0.40808233	1.249816919	1.229165334	1.280450936	0.67344809	1.083450286	1.136667681	1.035504627	1.151194721	0.571107455	1.29746455	0.818991158	1.280715083	1.101769714	0.432740493	0.238750614	0.310655325	0.644372297	0.301207516	1.216761714	0.378052888	1.004509394	0.991929308	1.284302829	0	0.873871757	0.205584427	0.878999247	0.360461835	0.09179308	0.419372754	0.291225996	0.869906659	0.233594025
