	EX-CTR	Z1-A	Z1-C	Z1-N	Z1-R	Z11-C	Z11-N	Z11-R	Z13-A	Z13-C	Z13-N	Z18-A	Z18-C	Z18-R	Z23-C	Z23-N	Z23-R	Z26-C	Z26-N	Z26-R	Z28-A	Z28-C	Z28-N	Z28-R	Z29-A	Z29-C	Z29-N	Z29-R	Z32-A	Z32-C	Z32-N	Z32-R	Z36-A	Z36-C	Z36-N	Z36-R	Z39-A	Z39-N	Z39-R	Z4-A	Z4-C	Z4-N	Z4-R	Z40-A	Z40-C	Z40-N	Z40-R	Z43-C	Z43-N	Z43-R	Z44-A	Z44-C	Z44-N	Z45-A	Z45-C	Z45-N	Z45-R	Z46-C	Z46-N	Z46-R	Z5-A	Z5-C	Z5-N	Z5-R	Z6-A	Z6-C	Z6-N	Z6-R
Z36-A	0.9574468085106383	0.9166666666666666	0.9473684210526315	0.9245283018867925	0.9074074074074074	0.9230769230769231	0.8666666666666667	0.9193548387096774	0.9148936170212766	0.9428571428571428	1.0	0.9512195121951219	1.0	0.926829268292683	0.9259259259259259	0.9038461538461539	0.8936170212765957	0.9210526315789473	0.8961038961038961	0.9122807017543859	0.9333333333333333	0.9272727272727272	1.0	0.94	0.9347826086956522	0.9038461538461539	0.9354838709677419	0.9302325581395349	0.9787234042553191	0.9682539682539683	0.8833333333333333	0.9545454545454546	0.0	0.9285714285714286	0.9285714285714286	0.8611111111111112	1.0	0.9090909090909091	0.9090909090909091	0.8666666666666667	0.925	0.8666666666666667	0.918918918918919	0.9841269841269841	1.0	0.975	0.993103448275862	0.9076923076923077	0.967741935483871	0.9318181818181818	1.0	0.9259259259259259	0.9545454545454546	0.9310344827586207	0.9411764705882353	0.8235294117647058	0.9102564102564102	0.8936170212765957	0.9230769230769231	0.8620689655172413	0.9111111111111111	0.967741935483871	0.9230769230769231	0.90625	0.9272727272727272	0.9487179487179487	0.926829268292683	0.9387755102040817
Z36-C	1.0	0.8392857142857143	0.7954545454545454	0.8135593220338984	0.819672131147541	0.8611111111111112	0.8363636363636363	0.8888888888888888	0.8363636363636363	0.75	0.78125	0.8333333333333334	0.8108108108108109	0.7872340425531915	0.8	0.7931034482758621	0.7962962962962963	0.8260869565217391	0.8048780487804879	0.8095238095238095	0.8490566037735849	0.819672131147541	0.7837837837837838	0.8421052631578947	0.8076923076923077	0.9552238805970149	0.7567567567567568	0.9272727272727272	0.8490566037735849	0.8181818181818182	0.8235294117647058	0.82	0.9285714285714286	0.0	0.7111111111111111	0.92	0.8928571428571429	0.9722222222222222	0.8356164383561644	0.8148148148148148	0.6666666666666666	0.7450980392156863	0.7954545454545454	0.8507462686567164	0.9743589743589743	0.8	0.9539473684210527	0.8333333333333334	0.75	0.8235294117647058	0.7419354838709677	0.8360655737704918	0.7708333333333334	0.8461538461538461	0.775	0.7380952380952381	0.8604651162790697	0.8596491228070176	0.8043478260869565	0.8382352941176471	0.8301886792452831	0.8507462686567164	0.7209302325581395	0.7368421052631579	0.8	0.8	0.7872340425531915	0.7962962962962963
Z36-N	0.9666666666666667	0.7962962962962963	0.7954545454545454	0.7931034482758621	0.819672131147541	0.8285714285714286	0.8363636363636363	0.8405797101449275	0.8363636363636363	0.75	0.7419354838709677	0.8085106382978723	0.7777777777777778	0.7608695652173914	0.7647058823529411	0.8333333333333334	0.7962962962962963	0.7727272727272727	0.8333333333333334	0.7903225806451613	0.8269230769230769	0.819672131147541	0.75	0.8214285714285714	0.8301886792452831	0.9552238805970149	0.7567567567567568	0.9464285714285714	0.78	0.8181818181818182	0.8235294117647058	0.7708333333333334	0.9285714285714286	0.7111111111111111	0.0	0.92	0.8928571428571429	0.9722222222222222	0.8356164383561644	0.8771929824561403	0.7555555555555555	0.72	0.7674418604651163	0.8676470588235294	1.0	0.8260869565217391	0.9539473684210527	0.8333333333333334	0.7837837837837838	0.7755102040816326	0.7419354838709677	0.7966101694915254	0.7708333333333334	0.8095238095238095	0.775	0.7674418604651163	0.8604651162790697	0.8793103448275862	0.7777777777777778	0.855072463768116	0.76	0.8333333333333334	0.75	0.7027027027027027	0.819672131147541	0.7142857142857143	0.7872340425531915	0.75
Z36-R	0.9824561403508771	0.9107142857142857	0.9111111111111111	0.9354838709677419	0.9032258064516129	0.9428571428571428	0.9285714285714286	0.9295774647887324	0.9090909090909091	0.9302325581395349	0.9705882352941176	0.9803921568627451	0.9473684210526315	0.8958333333333334	0.8823529411764706	0.8813559322033898	0.9298245614035088	0.9130434782608695	0.9069767441860465	0.8360655737704918	0.9038461538461539	0.8666666666666667	0.975	0.9491525423728814	0.9056603773584906	0.8813559322033898	0.8947368421052632	0.9215686274509803	0.9245283018867925	0.9428571428571428	0.9295774647887324	0.9622641509433962	0.8611111111111112	0.92	0.92	0.0	0.9651162790697675	0.96875	0.92	0.8679245283018868	0.9166666666666666	0.8888888888888888	0.8604651162790697	0.9571428571428572	0.9411764705882353	0.9583333333333334	0.959731543624161	0.8732394366197183	0.9487179487179487	0.9433962264150944	0.9705882352941176	0.864406779661017	0.8775510204081632	0.9242424242424242	0.9534883720930233	0.8863636363636364	0.8536585365853658	0.8703703703703703	0.8913043478260869	0.8636363636363636	0.9056603773584906	0.9264705882352942	0.9375	0.926829268292683	0.9206349206349206	0.9361702127659575	0.94	0.9482758620689655
Z39-A	0.9895833333333334	0.9010989010989011	0.9	0.9175257731958762	0.9191919191919192	0.9444444444444444	0.9239130434782609	0.9150943396226415	0.9239130434782609	0.9102564102564102	0.8955223880597015	0.9036144578313253	0.9027777777777778	0.891566265060241	0.9	0.9175257731958762	0.9130434782608695	0.9146341463414634	0.9186991869918699	0.8888888888888888	0.9213483146067416	0.9081632653061225	0.9041095890410958	0.9021739130434783	0.9222222222222223	0.9705882352941176	0.9054054054054054	0.9782608695652174	0.9090909090909091	0.8921568627450981	0.9351851851851852	0.8941176470588236	1.0	0.8928571428571429	0.8928571428571429	0.9651162790697675	0.0	1.0	0.9090909090909091	0.9578947368421052	0.9036144578313253	0.9120879120879121	0.9135802469135802	0.9230769230769231	1.0	0.9012345679012346	0.9625668449197861	0.9181818181818182	0.9041095890410958	0.9204545454545454	0.8955223880597015	0.9183673469387755	0.8809523809523809	0.9320388349514563	0.9090909090909091	0.9135802469135802	0.9274193548387096	0.9361702127659575	0.9156626506024096	0.9345794392523364	0.9101123595505618	0.9019607843137255	0.9156626506024096	0.8933333333333333	0.93	0.8875	0.9047619047619048	0.9010989010989011
Z39-N	1.0	0.9767441860465116	0.9333333333333333	0.9574468085106383	1.0	0.8888888888888888	0.925	0.9827586206896551	0.9761904761904762	0.9259259259259259	1.0	0.9705882352941176	1.0	1.0	1.0	0.9791666666666666	0.9767441860465116	1.0	0.9868421052631579	0.9811320754716981	1.0	0.98	1.0	1.0	0.975	0.9791666666666666	0.9583333333333334	0.9142857142857143	0.9743589743589743	1.0	0.9827586206896551	0.972972972972973	0.9090909090909091	0.9722222222222222	0.9722222222222222	0.96875	1.0	0.0	0.967741935483871	0.9761904761904762	0.9705882352941176	0.9761904761904762	0.967741935483871	1.0	1.0	1.0	1.0	0.9838709677419355	1.0	1.0	1.0	0.9795918367346939	0.972972972972973	0.9811320754716981	0.9629629629629629	0.967741935483871	0.9868421052631579	1.0	0.9696969696969697	0.9642857142857143	1.0	0.9818181818181818	0.9696969696969697	0.9615384615384616	0.98	1.0	0.9714285714285714	1.0
Z39-R	0.9886363636363636	0.7894736842105263	0.8405797101449275	0.8170731707317073	0.8214285714285714	0.8852459016393442	0.8333333333333334	0.8241758241758241	0.7866666666666666	0.7777777777777778	0.8620689655172413	0.8309859154929577	0.873015873015873	0.782608695652174	0.8688524590163934	0.8170731707317073	0.8051948051948052	0.7910447761194029	0.8207547169811321	0.813953488372093	0.8266666666666667	0.8072289156626506	0.8387096774193549	0.8227848101265823	0.8589743589743589	0.9101123595505618	0.8412698412698413	0.963855421686747	0.8421052631578947	0.8333333333333334	0.8369565217391305	0.8378378378378378	0.9090909090909091	0.8356164383561644	0.8356164383561644	0.92	0.9090909090909091	0.967741935483871	0.0	0.8902439024390244	0.8142857142857143	0.7866666666666666	0.8405797101449275	0.8817204301075269	0.9848484848484849	0.8591549295774648	0.9310344827586207	0.84375	0.8	0.8082191780821918	0.8620689655172413	0.8048780487804879	0.821917808219178	0.8666666666666667	0.8656716417910447	0.8405797101449275	0.8425925925925926	0.9047619047619048	0.7941176470588235	0.8723404255319149	0.7972972972972973	0.8571428571428571	0.7761194029850746	0.7903225806451613	0.8072289156626506	0.7538461538461538	0.8	0.8354430379746836
Z4-A	0.9850746268656716	0.890625	0.8867924528301887	0.9295774647887324	0.835820895522388	0.9069767441860465	0.8709677419354839	0.9113924050632911	0.8888888888888888	0.9019607843137255	0.9024390243902439	0.9122807017543859	0.8888888888888888	0.9137931034482759	0.8837209302325582	0.8125	0.8360655737704918	0.8888888888888888	0.8695652173913043	0.8591549295774648	0.8833333333333333	0.8857142857142857	0.9148936170212766	0.8923076923076924	0.847457627118644	0.8656716417910447	0.8695652173913043	0.9344262295081968	0.8833333333333333	0.8947368421052632	0.8533333333333334	0.8983050847457628	0.8666666666666667	0.8148148148148148	0.8771929824561403	0.8679245283018868	0.9578947368421052	0.9761904761904762	0.8902439024390244	0.0	0.8518518518518519	0.8135593220338984	0.8653846153846154	0.9358974358974359	0.9545454545454546	0.8888888888888888	0.9751552795031055	0.8311688311688312	0.8913043478260869	0.9180327868852459	0.9024390243902439	0.8676470588235294	0.8793103448275862	0.875	0.8541666666666666	0.8653846153846154	0.8314606741573034	0.873015873015873	0.8703703703703703	0.8194444444444444	0.8666666666666667	0.8933333333333333	0.8909090909090909	0.875	0.8529411764705882	0.9285714285714286	0.8545454545454545	0.873015873015873
Z4-C	1.0	0.8113207547169812	0.7560975609756098	0.7857142857142857	0.8135593220338984	0.8529411764705882	0.7843137254901961	0.835820895522388	0.8076923076923077	0.7368421052631579	0.7666666666666667	0.8	0.8	0.7777777777777778	0.7878787878787878	0.7857142857142857	0.7884615384615384	0.8181818181818182	0.8148148148148148	0.8225806451612904	0.7959183673469388	0.7719298245614035	0.7714285714285715	0.8148148148148148	0.8461538461538461	0.9538461538461539	0.7777777777777778	0.9444444444444444	0.8431372549019608	0.8125	0.835820895522388	0.8125	0.925	0.6666666666666666	0.7555555555555555	0.9166666666666666	0.9036144578313253	0.9705882352941176	0.8142857142857143	0.8518518518518519	0.0	0.7083333333333334	0.7857142857142857	0.8805970149253731	0.972972972972973	0.7906976744186046	0.9533333333333334	0.8285714285714286	0.696969696969697	0.7659574468085106	0.7241379310344828	0.7894736842105263	0.7608695652173914	0.8412698412698413	0.7631578947368421	0.7857142857142857	0.8571428571428571	0.8947368421052632	0.7380952380952381	0.8333333333333334	0.7755102040816326	0.828125	0.7380952380952381	0.6857142857142857	0.7719298245614035	0.7317073170731707	0.75	0.8113207547169812
Z4-N	0.9850746268656716	0.7090909090909091	0.7708333333333334	0.711864406779661	0.7419354838709677	0.8809523809523809	0.75	0.8378378378378378	0.7272727272727273	0.6976744186046512	0.8157894736842105	0.8301886792452831	0.8095238095238095	0.6595744680851063	0.7692307692307693	0.711864406779661	0.7090909090909091	0.7755102040816326	0.7469879518072289	0.8260869565217391	0.7358490566037735	0.78125	0.7560975609756098	0.7586206896551724	0.8275862068965517	0.9444444444444444	0.7619047619047619	0.984375	0.8035714285714286	0.7647058823529411	0.7714285714285715	0.8392857142857143	0.8666666666666667	0.7450980392156863	0.72	0.8888888888888888	0.9120879120879121	0.9761904761904762	0.7866666666666666	0.8135593220338984	0.7083333333333334	0.0	0.7708333333333334	0.863013698630137	1.0	0.8679245283018868	0.9622641509433962	0.7671232876712328	0.6578947368421053	0.7058823529411765	0.75	0.6949152542372882	0.7	0.8428571428571429	0.8043478260869565	0.7446808510638298	0.8314606741573034	0.873015873015873	0.6739130434782609	0.8028169014084507	0.6666666666666666	0.8142857142857143	0.6739130434782609	0.5789473684210527	0.7	0.723404255319149	0.7142857142857143	0.7966101694915254
Z4-R	0.9636363636363636	0.8235294117647058	0.7692307692307693	0.8392857142857143	0.8448275862068966	0.8387096774193549	0.8431372549019608	0.8461538461538461	0.7959183673469388	0.7837837837837838	0.7407407407407407	0.8409090909090909	0.7419354838709677	0.8181818181818182	0.7241379310344828	0.8181818181818182	0.8235294117647058	0.7435897435897436	0.8795180722891566	0.8333333333333334	0.8333333333333334	0.8448275862068966	0.7878787878787878	0.8703703703703703	0.7608695652173914	0.9166666666666666	0.6774193548387096	0.9615384615384616	0.782608695652174	0.859375	0.8636363636363636	0.8260869565217391	0.918918918918919	0.7954545454545454	0.7674418604651163	0.8604651162790697	0.9135802469135802	0.967741935483871	0.8405797101449275	0.8653846153846154	0.7857142857142857	0.7708333333333334	0.0	0.875	1.0	0.8333333333333334	0.9523809523809523	0.855072463768116	0.75	0.8043478260869565	0.7407407407407407	0.8	0.8	0.8135593220338984	0.7777777777777778	0.7368421052631579	0.8658536585365854	0.8461538461538461	0.75	0.84375	0.8125	0.8	0.75	0.7714285714285715	0.8245614035087719	0.775	0.7906976744186046	0.8235294117647058
Z40-A	0.9746835443037974	0.8648648648648649	0.8571428571428571	0.8441558441558441	0.8765432098765432	0.9090909090909091	0.8933333333333333	0.8876404494382022	0.863013698630137	0.8305084745762712	0.84	0.8805970149253731	0.8113207547169812	0.8484848484848485	0.8490566037735849	0.9146341463414634	0.8493150684931506	0.8412698412698413	0.8857142857142857	0.8536585365853658	0.8732394366197183	0.8902439024390244	0.8571428571428571	0.8513513513513513	0.8428571428571429	0.9404761904761905	0.8392857142857143	0.9736842105263158	0.8571428571428571	0.872093023255814	0.8620689655172413	0.8695652173913043	0.9841269841269841	0.8507462686567164	0.8676470588235294	0.9571428571428572	0.9230769230769231	1.0	0.8817204301075269	0.9358974358974359	0.8805970149253731	0.863013698630137	0.875	0.0	0.9827586206896551	0.859375	0.9146341463414634	0.8804347826086957	0.8363636363636363	0.7846153846153846	0.84	0.8157894736842105	0.8695652173913043	0.8536585365853658	0.8666666666666667	0.819672131147541	0.8857142857142857	0.9230769230769231	0.8615384615384616	0.9111111111111111	0.8591549295774648	0.8705882352941177	0.84375	0.8448275862068966	0.8765432098765432	0.8412698412698413	0.8307692307692308	0.8333333333333334
Z40-C	0.9523809523809523	1.0	1.0	1.0	1.0	0.9545454545454546	0.9777777777777777	0.9666666666666667	0.9302325581395349	0.9333333333333333	0.95	1.0	1.0	0.9736842105263158	0.9565217391304348	0.9803921568627451	1.0	0.9714285714285714	0.9743589743589743	0.9821428571428571	0.9761904761904762	0.9615384615384616	1.0	1.0	0.9523809523809523	0.96	1.0	0.9487179487179487	0.9761904761904762	0.9655172413793104	0.9836065573770492	0.975	1.0	0.9743589743589743	1.0	0.9411764705882353	1.0	1.0	0.9848484848484849	0.9545454545454546	0.972972972972973	1.0	1.0	0.9827586206896551	0.0	0.9411764705882353	0.9708029197080292	0.96875	1.0	0.975609756097561	1.0	0.9807692307692307	0.975	0.9636363636363636	0.9666666666666667	0.9705882352941176	0.961038961038961	0.9782608695652174	1.0	0.9833333333333333	1.0	0.9827586206896551	1.0	1.0	0.9811320754716981	1.0	0.9736842105263158	1.0
