	EX-CTR	Z1-A	Z1-C	Z1-N	Z1-R	Z11-C	Z11-N	Z11-R	Z13-A	Z13-C	Z13-N	Z18-A	Z18-C	Z18-R	Z23-C	Z23-N	Z23-R	Z26-C	Z26-N	Z26-R	Z28-A	Z28-C	Z28-N	Z28-R	Z29-A	Z29-C	Z29-N	Z29-R	Z32-A	Z32-C	Z32-N	Z32-R	Z36-A	Z36-C	Z36-N	Z36-R	Z39-A	Z39-N	Z39-R	Z4-A	Z4-C	Z4-N	Z4-R	Z40-A	Z40-C	Z40-N	Z40-R	Z43-C	Z43-N	Z43-R	Z44-A	Z44-C	Z44-N	Z45-A	Z45-C	Z45-N	Z45-R	Z46-C	Z46-N	Z46-R	Z5-A	Z5-C	Z5-N	Z5-R	Z6-A	Z6-C	Z6-N	Z6-R
Z32-N	0.8346508119941203	0.6224899103319181	0.7381496439928624	0.7622384977780202	0.7423088617062085	0.8122356071158248	0.7545846121635446	0.7925477985332363	0.7393029723650539	0.74084658395645	0.7482341467834556	0.4679100367621475	0.7467418924836632	0.7950882112397974	0.7546890058770026	0.7750829592602888	0.7640091729896877	0.7202828657600052	0.7428084587079798	0.8299728007142589	0.7427904905276614	0.765177276895165	0.7782520050196239	0.7617589495293806	0.7439251266133803	0.7516511662376916	0.7368332624458402	0.869814712180118	0.7671398929789612	0.7811000377513042	0.0	0.6919188866306263	0.7415963383589793	0.7503404918733789	0.7656705166167365	0.7546938412353608	0.8082891151355686	0.9405743314284108	0.4775378785926937	0.7498894505613451	0.7621947205886869	0.7731139794100137	0.7586478786795275	0.6919739215019852	0.8419334247784872	0.6664650011553566	0.8157526342744195	0.7678177402606416	0.7639298297059341	0.7241691236382399	0.7733356942751668	0.7105188218616697	0.7538762617843907	0.6315766287929577	0.7516907553853543	0.4026618834432738	0.7015454500263215	0.8018853020219459	0.7645846651134183	0.6609942627208537	0.4452071985963804	0.6778454259112846	0.6713675932727863	0.7943529861388473	0.7160851935379013	0.7378892104165258	0.45671958284893	0.7894728778129202
Z32-R	0.7908484004224161	0.73799500206891	0.508023218034893	0.722855293259309	0.6816445796553442	0.7120007371001555	0.690755069860654	0.6620433253653346	0.5463473013216925	0.5323821682426823	0.5522814380203958	0.6626616365605965	0.596662574283192	0.7164057478449585	0.6171586347632247	0.6348272172479862	0.7038193713331788	0.539458661655476	0.6960106528780998	0.7833716727187708	0.6912236553999984	0.7422939129025736	0.6435025906955045	0.7269384085696183	0.5099075161167116	0.675211744480307	0.5568408304673829	0.8099325830419318	0.6185440988698675	0.6815977997101532	0.6919188866306263	0.0	0.6826273016259681	0.6759898196560254	0.6543873117439282	0.6653217505917634	0.6908045813660557	0.891321968723118	0.65892581949374	0.6945984949073857	0.6949853347205754	0.7606910479722386	0.5899664117346748	0.641606947302019	0.7668654493681764	0.49041568366474814	0.7499739225495728	0.7090177017010529	0.5792472156481803	0.6348567940576165	0.6201142693094265	0.4725664254674442	0.6844655875546125	0.5497226012992846	0.560842526236174	0.6298852090152084	0.6500622435292372	0.7244893497334591	0.5748003875303541	0.600028132521857	0.588478919274009	0.5268064848221715	0.521706552900499	0.7202718609650933	0.5364654825861401	0.6299242869233582	0.6407448014042847	0.6687438092638449
Z36-A	0.8575390448080776	0.8220487553614941	0.6493814026303311	0.7743682578454205	0.7682534938715055	0.20912513256525692	0.7374722028839448	0.7719558768012951	0.6986886432118481	0.6872866114453052	0.6736240473626414	0.7483792979697774	0.6485255159166368	0.7682179820017685	0.6526252474325922	0.7607331260812386	0.7656576427658297	0.667944955725139	0.7636589921457052	0.6309449821493586	0.7326735146184042	0.7628645511812517	0.6832904076368509	0.7652378493263343	0.6616462482440487	0.4511784584854971	0.6427740943212337	0.6146213895971296	0.4191140869557293	0.8042944572008796	0.7415963383589793	0.6826273016259681	0.0	0.732886024816977	0.7584803658709178	0.2944732188028214	0.807500977582862	0.5015207584169413	0.7811426570083458	0.4425903019390673	0.2436054422332916	0.501468283818407	0.6676910812920006	0.7070996076659674	0.7959636537129064	0.6716052835235737	0.6479605490699528	0.7510922419228042	0.6604925572411326	0.7507185119719163	0.6835718908268664	0.6645773670601495	0.7449231192047131	0.6937579315705484	0.6799729421002838	0.7032152505378807	0.7380736546086266	0.7761676506246532	0.6647560339364963	0.6192504147699952	0.7107921458899339	0.7154223779154684	0.6283497375942615	0.7321635210274579	0.6925088251275268	0.7307319682924805	0.7382419674121845	0.7801990908543268
Z36-C	0.839499315323883	0.5183331909577936	0.7045674382416027	0.4509685580010365	0.3898711824493664	0.793480715845746	0.33076592658788256	0.4412029274255433	0.6759444447588677	0.6638805341408026	0.7410399040185509	0.7227602784617176	0.7265433831521593	0.26049717872826395	0.7249430285462465	0.3319772328902772	0.24656601946534523	0.6734098288912058	0.37197042428651	0.5932915021178351	0.7706861522062366	0.7613666987390212	0.752944054542747	0.40681422878880125	0.636130947939193	0.7659268659265405	0.696248045155244	0.8810109585084421	0.7627423082479925	0.48067151648478423	0.7503404918733789	0.6759898196560254	0.732886024816977	0.0	0.2919078032747333	0.7422046161768591	0.4818070740023854	0.9380813005518076	0.7458720161339402	0.7594104325075837	0.7429854270884105	0.46960070691412575	0.7075306206896778	0.7029006949577433	0.8517556667094308	0.6793138753337288	0.7986964609811796	0.36219819091942934	0.7185564744870397	0.7625305447565576	0.75536090270191	0.7095480295805314	0.3360708540083624	0.6982971264798434	0.7218306260059867	0.7183553152961158	0.7368155263444255	0.42664792086570724	0.6713362072801089	0.6526994716921584	0.727569474796457	0.7340033819938766	0.5983530915739471	0.27967459270268125	0.6929973888221362	0.7605203538660847	0.7450776622690525	0.380068319745273
Z36-N	0.8407864956470654	0.50621245539633	0.7186230238294408	0.4453667472975998	0.3655872676727803	0.7771346433306553	0.2920083785202016	0.4313719480484457	0.7303521283422164	0.7194062962211181	0.7120437025421161	0.742198388632001	0.7490106289657211	0.380671490844094	0.7350412232649058	0.4237701121974605	0.3346944685943923	0.7181999540125048	0.3745377770768116	0.5955807446340414	0.7698545067308491	0.7834256390312058	0.7499978842748802	0.3722530281352518	0.6604278536248935	0.7558220322161053	0.6832729706692696	0.8877454500009011	0.7252358365585392	0.47445850475549656	0.7656705166167365	0.6543873117439282	0.7584803658709178	0.2919078032747333	0.0	0.7426159948641217	0.4739673981740556	0.9354013711064003	0.7648679262520685	0.773661436691413	0.7578361787077673	0.4557017915259265	0.7170632133800118	0.7264077019276067	0.8521652876638546	0.6502909590212188	0.8063950103178346	0.4032687027546522	0.709845566651416	0.7209482570500346	0.7375048699366732	0.688954576213413	0.260798736769657	0.6768513083280707	0.7278354019440217	0.7313144719030714	0.7537763869052391	0.44729851225356815	0.6615714306580885	0.6717924146919187	0.7269071122270905	0.7229328366488008	0.6616139856996325	0.28210745826852635	0.7080061665191437	0.7480266124046856	0.7566074342068916	0.3353865834085342
Z36-R	0.8498673320225957	0.8048850790772405	0.6708123915405492	0.7851444216106195	0.761482485229665	0.3397560114394632	0.7359747836662345	0.7384161562568634	0.6940832290356314	0.7026491379504881	0.7037347081002249	0.7520849665763959	0.6811745256077011	0.7680545323779482	0.6996846727410109	0.7512937309742717	0.7656979568502925	0.6864019599664152	0.742806530340782	0.5813083061206895	0.7057795507570219	0.7636252714067561	0.7383590778292084	0.754515206594598	0.6608681821099283	0.37531942133245155	0.6593869000430967	0.5433476051977125	0.37142785195513056	0.7831051485985326	0.7546938412353608	0.6653217505917634	0.2944732188028214	0.7422046161768591	0.7426159948641217	0.0	0.7938675413794251	0.5974101461363114	0.7549143610171067	0.38603362166211724	0.35828331270980135	0.521491322266262	0.6403233411603638	0.7052374800310117	0.8195779474215815	0.6473664975998248	0.6293468253984427	0.7448020395835588	0.7031927503091067	0.7409154651093482	0.7244967062149419	0.6418217773322675	0.7372254504482516	0.6789931033156388	0.6845046110149932	0.7239175441039524	0.7078508912642351	0.754636450502158	0.7035017028803743	0.6129381574183956	0.7132788453564195	0.6886593415145873	0.6679763081417379	0.7698674150740121	0.6819234075291827	0.7307026221744549	0.7295656766765667	0.762381849813522
Z39-A	0.7782656950385343	0.5578521808522215	0.7417070011839012	0.4889081428251626	0.4782259878810708	0.8419086025277237	0.47536037384978225	0.4638473337942693	0.7363775081495456	0.7576456075577251	0.7612851495399177	0.783766641231476	0.796903412966485	0.5266668070663597	0.7968555353537952	0.4771820461897287	0.49894279822734744	0.7839232831932937	0.500567853607233	0.6047796671480217	0.8089678461964206	0.8013024382097994	0.8084706536592242	0.4974672168500067	0.6861118320693936	0.7782672618558493	0.7854979344614316	0.8599187465637851	0.760229510626528	0.5051963755366434	0.8082891151355686	0.6908045813660557	0.807500977582862	0.4818070740023854	0.4739673981740556	0.7938675413794251	0.0	0.9256827140716053	0.7563066798570928	0.8021034769638196	0.8087477719087749	0.5688617432119982	0.7256152640246794	0.7570095322833732	0.8821802281410493	0.724218034588313	0.7670287597561682	0.4242813474515246	0.8003827785781379	0.7664176457062132	0.7966315381545949	0.7127211290776383	0.45048060706354087	0.7320977941685538	0.7434712056661662	0.7958741612355682	0.736720767656232	0.48312184588357837	0.7409206993756078	0.749146099087786	0.7675319094859663	0.6836976031284454	0.7692580022857212	0.47165154971106976	0.7469765572533583	0.792639194847747	0.8067453922691195	0.4733360261069432
Z39-N	0.8876478479233699	0.9173425357847569	0.8427954112028488	0.9043566197955798	0.9297048009630371	0.48971964288633135	0.9166730278868455	0.9118295388765907	0.8924636158424691	0.8631140659986501	0.866848027330246	0.9262533099272199	0.948495686875974	0.9374827615512583	0.932119956046021	0.9156019013907947	0.9353650542664361	0.9308801115304763	0.9251321010293808	0.7459992581398226	0.9307955265379291	0.9385739519299899	0.9024212706599563	0.9401937496551459	0.8853428330256561	0.6150481468331631	0.8973681016065328	0.5519330105651361	0.5662426927154876	0.9358919721537401	0.9405743314284108	0.891321968723118	0.5015207584169413	0.9380813005518076	0.9354013711064003	0.5974101461363114	0.9256827140716053	0.0	0.91902209497224	0.6524034394502032	0.5458924016242158	0.7122285300796756	0.8701264815258282	0.9227314321741407	0.886875916640725	0.8858478584551427	0.7503916106148415	0.9155854237984417	0.9228580748125621	0.9127203515088442	0.9269753007240763	0.8390944879264178	0.923413906098816	0.9210674368175644	0.8566349637891008	0.9329785376524796	0.8963102716478222	0.9245941918598284	0.8595460761175469	0.9088478751060871	0.8941399841805504	0.9030644796958647	0.9057700742270559	0.9284144755556972	0.9012791148339326	0.9373599571267827	0.9253056522200703	0.9214052239251016
Z39-R	0.8173705639406881	0.5664576094958982	0.707747460144979	0.7674446783631905	0.75323029824175	0.8111274862692307	0.771022258155771	0.7321854387081324	0.6738546142257918	0.7172693491980753	0.7304239600141127	0.4754538375308027	0.7550937685917153	0.7955092529359266	0.7770078239810416	0.7577004482627253	0.7842404258190607	0.6838884678326199	0.7383579182612083	0.8125575355459692	0.7732065929317878	0.7912846148747386	0.7982016683221022	0.7906140908695648	0.707909513747491	0.7298992238939226	0.743343928471156	0.8351779426587348	0.7365774573510673	0.7533576175907016	0.4775378785926937	0.65892581949374	0.7811426570083458	0.7458720161339402	0.7648679262520685	0.7549143610171067	0.7563066798570928	0.91902209497224	0.0	0.7456159505088805	0.7931043346622223	0.8041920973550374	0.6769919536239615	0.6904888596903399	0.8749573126856725	0.6473660538160628	0.7634514588277281	0.7222043558581237	0.762185647846234	0.7494914805813452	0.780500432560221	0.6703835701212243	0.7803758445582601	0.6991023439475631	0.7013966376245945	0.4580363904840437	0.6708242560771854	0.758943122234291	0.7270975971729845	0.7068871507352439	0.42124388875191227	0.6281322056613521	0.7051610342584486	0.8133630438270888	0.6872695086250036	0.7699267615974449	0.45189418221961614	0.7520715253762567
Z4-A	0.8730013364897156	0.8092090481923705	0.7066544864309126	0.7726356037167875	0.7471644193991275	0.4878176248375577	0.7575316011133729	0.7652267902599303	0.700737981558346	0.7378250186590142	0.7425581911503656	0.7804608957540499	0.7617811794345222	0.8061876794676643	0.7683981241574065	0.7650295662583626	0.7846795828752616	0.722698079872656	0.7361979892615567	0.5802309419636679	0.7604499789730318	0.8038499450213479	0.7954898122333124	0.7816835687854614	0.6880273064258711	0.38297366045434117	0.739063999733073	0.5975599081411985	0.4313537734970605	0.7782886200977764	0.7498894505613451	0.6945984949073857	0.4425903019390673	0.7594104325075837	0.773661436691413	0.38603362166211724	0.8021034769638196	0.6524034394502032	0.7456159505088805	0.0	0.49864134857129594	0.5619030792162119	0.7077517626640665	0.7318466418785949	0.8661031743501665	0.6899871975074596	0.6405230119531791	0.749851046296166	0.7619312375524744	0.7483360389945445	0.7916585035638826	0.6967571822756152	0.7628540384213026	0.7004257831022708	0.7023813050749645	0.7495336514409063	0.7093848309426982	0.7718404646349831	0.7198831983370635	0.6727693869174893	0.7152637578890098	0.7237495183072506	0.6717072802507706	0.8074109499503398	0.6833090035167885	0.789728494343778	0.7611501959472309	0.7652325075658686
Z4-C	0.8802906046011861	0.8236436683299925	0.6865931841546067	0.7961339648988359	0.7734605852015861	0.28549474320016927	0.7556005720123906	0.792639700685326	0.7306769588162112	0.7137518126019924	0.7012482557535006	0.7477342465894828	0.7164240782711316	0.7797713280080815	0.6877422248415237	0.7706592833046838	0.7620266712046555	0.713898435120025	0.7711280443429113	0.6549498877891414	0.7676055146686591	0.7589004582528548	0.7065579141381156	0.788097002678326	0.6963750367178546	0.46093057308376223	0.6427566497064718	0.6246502858459387	0.3864610393561353	0.7981781898454536	0.7621947205886869	0.6949853347205754	0.2436054422332916	0.7429854270884105	0.7578361787077673	0.35828331270980135	0.8087477719087749	0.5458924016242158	0.7931043346622223	0.49864134857129594	0.0	0.5480511757449916	0.7064616976364393	0.7114542376065195	0.835325355404532	0.6665833519701669	0.6505937331383084	0.7679681867712019	0.691077160113989	0.7487994806043529	0.7123798257422187	0.681013450704529	0.7611831140031845	0.701903684156213	0.7068018310623723	0.7454030297852742	0.7288077519822544	0.775681613623866	0.6817776124860794	0.6677923548871784	0.7474485119583144	0.7329371383303797	0.6621224070483345	0.7482448667896894	0.7353114879841233	0.7398936388863034	0.7350060290430952	0.7566587158391319
