#OTU ID,Z1-C,Z1-N,Z11-C,Z11-N,Z13-C,Z13-N,Z18-C,Z23-C,Z23-N,Z26-C,Z26-N,Z28-C,Z28-N,Z29-C,Z29-N,Z32-C,Z32-N,Z36-C,Z36-N,Z39-N,Z4-C,Z4-N,Z40-C,Z40-N,Z43-C,Z43-N,Z44-C,Z44-N,Z45-C,Z45-N,Z46-C,Z46-N,Z5-C,Z5-N,Z6-C,Z6-N
89665d79d2234790629ea10dca8543e0,0,0,3513,3446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a363671f88d04738a319a563afeccf62,0,0,0,0,0,0,0,0,0,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,0,566,3377,0
befcb319f96e5be9dcc32e3680776e9f,0,0,0,0,0,0,989,0,8,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,280,0,99,0,0,0,0,0,2356,0,0,391
fd82fcb2450512c32b6cf03cc85b69db,0,286,0,0,254,0,215,0,0,115,0,0,83,0,0,147,92,0,122,0,0,322,0,0,0,0,399,0,0,0,0,0,0,134,169,133
7a9bbb6d16ccffe805cac63f3d5fb3b3,0,121,0,0,57,0,0,0,83,0,100,112,30,0,0,232,158,169,62,0,119,150,0,0,53,308,718,71,182,0,0,189,0,133,119,107
fa74951275aaff5c68cd1bbc0d894c6b,0,0,0,0,0,0,0,0,0,94,198,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,3,0,0,0,0,349,0,0,186
8ddbfae19dce9618480c71054b569869,0,0,0,24,0,0,0,10,105,12,205,58,0,17,0,0,150,0,0,0,0,365,0,0,104,0,0,54,0,126,197,0,0,0,0,0
f61647611cec0e9e6d649e660d8ab922,0,0,0,0,0,0,0,0,0,0,0,5192,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0
9a28cb8bfe4ac4fce596941d99a39efe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,537,0,0,0,0,0,0,0,0,0,0,0,0,115
12f181fd11e2f655230e28571a0dc6e6,36,586,0,24,0,0,0,0,459,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
73f8b5f52219ef62aef477d189106f60,0,0,17,68,0,0,0,0,2042,0,227,0,0,0,0,0,166,0,0,0,0,6,0,0,361,0,0,0,0,0,47,0,0,0,0,0
667c6770eb68bfbc98fbb2067d607886,0,86,0,0,79,0,0,0,143,0,131,86,0,0,0,192,133,0,0,0,99,108,0,0,87,280,614,46,0,0,0,171,72,128,79,113
a7bbda6fedcca34df35054b0b01f53fe,0,0,0,0,0,0,0,0,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3a0267e25c9b43e77e0f52ba955a624c,0,0,0,0,0,0,0,0,0,0,446,445,0,56,0,0,0,94,505,0,10,0,0,155,0,0,0,0,0,0,0,0,110,0,378,0
475032c774a23b3d0f0652e589bc4526,0,0,0,25,0,0,0,0,28,0,560,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,379,0,0,0,0,0
4a9eba678a7aecbc887ea09bfce8dc2e,0,127,0,0,74,0,0,0,75,0,99,79,143,0,0,175,45,0,130,0,99,133,0,0,42,215,527,96,0,0,0,163,0,134,102,81
3016de8e0b5f16495f5f7b98621e56aa,0,0,0,0,0,0,0,0,0,0,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
