#OTU ID,Z1-A,Z1-C,Z1-N,Z1-R,Z11-A,Z11-C,Z11-N,Z11-R,Z13-A,Z13-C,Z13-N,Z18-A,Z18-C,Z18-R,Z23-C,Z23-N,Z23-R,Z26-C,Z26-N,Z26-R,Z28-A,Z28-C,Z28-N,Z28-R,Z29-A,Z29-C,Z29-N,Z29-R,Z32-A,Z32-C,Z32-N,Z32-R,Z36-A,Z36-C,Z36-N,Z36-R,Z39-A,Z39-N,Z39-R,Z4-A,Z4-C,Z4-N,Z4-R,Z40-A,Z40-C,Z40-N,Z40-R,Z43-C,Z43-N,Z43-R,Z44-A,Z44-C,Z44-N,Z45-A,Z45-C,Z45-N,Z45-R,Z46-C,Z46-N,Z46-R,Z5-A,Z5-C,Z5-N,Z5-R,Z6-A,Z6-C,Z6-N,Z6-R
200084b63c504423d64f89e7dd2adb1e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,553,0,0,0,0,0,0,9,0,0,0,0,0,240,0,0,282,0,0,0,0,53,0,863,0,0,0,0,0,0,0,1358,0,0,0,0,0,0
dee21aa7a0186e8c3cda11bc6b71d03e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,215,0,547,0,0,0,0,85,0,0,0,0,0,0,0,1592,0,0,0,0,78,0,0,0,116,0,0,0,0,521,0,0
d23e3379a61e5cfd89a1c667c1627f61,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,3047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99b4e30ee0f407a38dda90ffc723317b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052,0,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1471,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ec05c5fe53ae05dd4fde14cb5435f00,6,0,0,0,0,0,0,41,142,0,0,0,0,0,0,0,0,0,180,0,0,0,0,157,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,1816,0,0,0,0,0,19
6f13a3c53dc56ed84743aad1ecfc3d64,0,0,103,406,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,97,0,0,375,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,328,165,0,0,937,0,0,0,165
760780938d5d800ab5a5aa6d6d8ae16f,171,0,0,298,0,0,0,0,0,0,0,0,0,299,0,92,176,0,338,0,0,0,0,0,0,0,167,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,0,0,0,0,0,135,0,409,24,0,0,0,0,0,0,0,0,0,0
0da1d1c7814ea45dc26d0b90fc3d22a4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,23,0,2662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
da9d6eec3d9fbb21c028bf7287f84e7f,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894,0,0,0,0,0,0,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,0,0,0,0,0,0
01fd0671b4eb80a52fc6f1a936351a0b,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,102,0,28,35,0,0,0,0,93,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,1910,0,0,0,0,0,0,0,0,0,0,0,0
