"","index","Unassigned.__","d__Bacteria.__","d__Bacteria.p__Acidobacteriota","d__Bacteria.p__Actinobacteriota","d__Bacteria.p__Bacteroidota","d__Bacteria.p__Bdellovibrionota","d__Bacteria.p__Campilobacterota","d__Bacteria.p__Chloroflexi","d__Bacteria.p__Cyanobacteria","d__Bacteria.p__Deinococcota","d__Bacteria.p__Elusimicrobiota","d__Bacteria.p__Fibrobacterota","d__Bacteria.p__Firmicutes","d__Bacteria.p__Fusobacteriota","d__Bacteria.p__Latescibacterota","d__Bacteria.p__Myxococcota","d__Bacteria.p__Patescibacteria","d__Bacteria.p__Planctomycetota","d__Bacteria.p__Proteobacteria","d__Bacteria.p__Spirochaetota","d__Bacteria.p__Verrucomicrobiota","d__Bacteria.p__Zixibacteria","d__Eukaryota.__","d__Eukaryota.p__Basidiomycota"
"16","Z23-N",0.0219735913718375,0.370728757181736,0,0.00892047172664046,0.0245942949299466,0,0,0,0,0,0.00609817558713839,0,0.212176191916137,0,0,0,0,0,0.355508517286564,0,0,0,0,0
"17","Z23-R",0.0312369070341232,0.75252548764024,0,0.0688515432242447,0,0,0,0,0,0,0,0,0.10586099343606,0,0,0,0,0,0.0413854103626461,0,0,0,0,0.000139658302686095
"18","Z26-C",0.0747739392534199,0.449686992812428,0,0.125086946440992,0,0,0,0,0,0,0,0,0.181776025968004,0,0,0,0,0,0.168676095525156,0,0,0,0,0
"19","Z26-N",0.0189524631013993,0.269168104274487,0,0.243243243243243,0.0111893808702319,0,0,0,0,0,0.000143760782058654,0.00258769407705578,0.279686601495112,0,0,0.000575043128234618,0.00225225225225225,0,0.172033735863523,0,0.000167720912401763,0,0,0
"20","Z26-R",0.0320422535211268,0.654929577464789,0,0.0936619718309859,0.00316901408450704,0,0,0,0,0,0,0,0.161619718309859,0,0,0,0,0,0.0545774647887324,0,0,0,0,0
"21","Z28-A",0.0195947450456468,0.437274549098196,0,0.278378980182587,0,0,0,0,0.00641282565130261,0,0,0,0.0932531730126921,0,0,0,0,0,0.165085727009575,0,0,0,0,0
"22","Z28-C",0.0209736787276894,0.587193555107994,0,0.0325022571011876,0.00027779706924092,0,0,0,0,0,0,0,0.298492950899368,0,0,0,0,0,0.0605597610945205,0,0,0,0,0
"23","Z28-N",0.067563930013459,0.857469717362046,0,0,0,0,0,0,0,0,0,0,0.0713324360699865,0,0,0,0,0,0,0,0.00363391655450875,0,0,0
"24","Z28-R",0.0605722967839959,0.788148898455305,0,0.0488731324385921,0.000759685996454799,0,0,0,0,0,0,0,0.0625474803747784,0,0,0,0,0,0.0390985059508736,0,0,0,0,0
"25","Z29-A",0,0.0158839490711751,0,0.0867251095804634,0.00709663953245669,0,0,0,0,0,0,0,0.110310999791275,0.0317887706115633,0,0,8.34898768524316e-05,0,0.748111041536214,0,0,0,0,0
"26","Z29-C",0.0015043626516899,0.00431250626817772,0,0.194764817972119,0.000702035904121954,0,0,0.00722094072811152,0,0,0,0,0.0445291344900211,0,0,0,0,0,0.746966201985759,0,0,0,0,0
"27","Z29-N",0,0.542304230423042,0,0.0661566156615662,0,0,0,0,0,0,0,0,0.167304230423042,0,0,0,0,0,0.224234923492349,0,0,0,0,0
"28","Z29-R",0.0012620950778292,0.00673117374842238,0.0100967606226336,0.174589819099706,0.00462768195204039,0,0,0,0,0,0,0,0.337189734960034,0,0,0,0,0,0.465502734539335,0,0,0,0,0
"29","Z32-A",0.00786862812179268,0.0826205952788231,0,0.15782871479074,0.014596875356369,0,0,0,0,0,0,0,0.0321587410195005,0,0,0,0,0,0.704926445432774,0,0,0,0,0
"30","Z32-C",0.058922985882154,0.414278468171443,0,0.410093837179812,0.0440442979119114,0.00431143799137712,0,0,0,0,0,0,0.00820018598359963,0,0,0,0.000253613999492772,0,0.0598951728802097,0,0,0,0,0
"31","Z32-N",0.0395488501538011,0.189761242126849,0,0.197963966603193,0,0,0,0,0,0,0,0,0.117767687124652,0,0,0,0,0.0115717006005566,0.443020360333968,0,0,0,0,0.00036619305697964
"32","Z32-R",0.028936461462413,0.691927449712917,0,0.0976082740788623,0.00422069280200768,0,0,0,0,0,0,0,0.153275789953991,0,0,0,0,0,0.0240313319898095,0,0,0,0,0
"33","Z36-A",0.00437078856310326,0.00103199174406605,0,0.0617070357554787,0,0,0,0,0,0,0,0,0.0353608935834396,0,0,0,0,0,0.897529290353912,0,0,0,0,0
"34","Z36-C",0.0168457961734888,0.738166018751429,0,0.0196661330894123,0,0,0,0,0,0,0,0,0.0201234850217242,0,0,0,0,0,0.205046116319841,0,0,0,0,0.000152450644103971
